id,start_date_local,type,icu_ignore_time,icu_pm_cp,icu_pm_w_prime,icu_pm_p_max,icu_pm_ftp,icu_pm_ftp_secs,icu_pm_ftp_watts,icu_ignore_power,icu_rolling_cp,icu_rolling_w_prime,icu_rolling_p_max,icu_rolling_ftp,icu_rolling_ftp_delta,icu_training_load,icu_atl,icu_ctl,ss_p_max,ss_w_prime,ss_cp,paired_event_id,icu_ftp,icu_joules,icu_recording_time,elapsed_time,icu_weighted_avg_watts,carbs_used,name,description,start_date,distance,icu_distance,moving_time,coasting_time,total_elevation_gain,total_elevation_loss,timezone,trainer,sub_type,commute,race,max_speed,average_speed,device_watts,has_heartrate,max_heartrate,average_heartrate,average_cadence,calories,average_temp,min_temp,max_temp,avg_lr_balance,gap,gap_model,use_elevation_correction,gear,perceived_exertion,device_name,power_meter,power_meter_serial,power_meter_battery,crank_length,external_id,file_sport_index,file_type,icu_athlete_id,created,icu_sync_date,analyzed,icu_w_prime,p_max,threshold_pace,icu_hr_zones,pace_zones,lthr,icu_resting_hr,icu_weight,icu_power_zones,icu_sweet_spot_min,icu_sweet_spot_max,icu_power_spike_threshold,trimp,icu_warmup_time,icu_cooldown_time,icu_chat_id,icu_ignore_hr,ignore_velocity,ignore_pace,ignore_parts,icu_training_load_data,interval_summary,skyline_chart_bytes,stream_types,has_weather,has_segments,power_field_names,power_field,icu_zone_times,icu_hr_zone_times,pace_zone_times,gap_zone_times,use_gap_zone_times,custom_zones,tiz_order,polarization_index,icu_achievements,icu_intervals_edited,lock_intervals,icu_lap_count,icu_joules_above_ftp,icu_max_wbal_depletion,icu_hrr,icu_sync_error,icu_color,icu_power_hr_z2,icu_power_hr_z2_mins,icu_cadence_z2,icu_rpe,feel,kg_lifted,decoupling,icu_median_time_delta,p30s_exponent,workout_shift_secs,strava_id,lengths,pool_length,compliance,coach_tick,source,oauth_client_id,oauth_client_name,average_altitude,min_altitude,max_altitude,power_load,hr_load,pace_load,hr_load_type,pace_load_type,tags,attachments,recording_stops,average_weather_temp,min_weather_temp,max_weather_temp,average_feels_like,min_feels_like,max_feels_like,average_wind_speed,average_wind_gust,prevailing_wind_deg,headwind_percent,tailwind_percent,average_clouds,max_rain,max_snow,carbs_ingested,route_id,pace,athlete_max_hr,group,icu_intensity,icu_efficiency_factor,icu_power_hr,session_rpe,average_stride,icu_average_watts,icu_variability_index,strain_score
i110993611,2025-12-09T06:25:57,VirtualRide,False,149.0,11302.0,236,152.0,1980.0,154.0,False,,24301.0,699.65845,283,0,20,61.685085,54.226833,0.0,0.0,29.890312,83149737.0,283,360528,2471,2472,152,111,MyWhoosh - AFLOJE Z1 60% Z2 40% 45 min,,2025-12-09T11:25:57Z,18860.47,18860.47,2472,93,21.2,20.2,,True,,False,False,12.284,7.627,True,True,128.0,118.0,71.32603,359,,,,,,NONE,False,"{'id': 'b11987797', 'name': None, 'distance': None, 'primary': None}",,MYWHOOSH 3570,,,,,MyNewActivity-5.5.0.fit,0,fit,2701597,2025-12-09T12:07:12.121+00:00,2025-12-09T14:00:41.673+00:00,2025-12-09T14:00:41.673+00:00,24301,700.0,,"[120, 147, 167, 186, 186]",,178,61,87.0,"[56, 76, 91, 106, 121, 999]",0,0,,28.858618,300,300,,False,False,False,,100.0,"['1x 31s 57w', '1x 30s 136w', '3x 40s 134w', '1x 40s 109w', '2x 40s 163w', '4x 3m 148w', '6x 2m 160w', '1x 2m 143w', '2x 62s 158w', '1x 83s 153w', '1x 5m 144w']",CAYSHR8eKCgoKCgotAF4tAF4tAF4tAF4P3g8eFN4rAJqGhgUMC0mLzA2PDU4MzI0ODM4Nzg3ODY4MhIiGAEBAQEBAQECAQIBAQECAQIBAgECAQIBASgB,"['time', 'watts', 'cadence', 'heartrate', 'distance', 'altitude', 'latlng', 'velocity_smooth', 'torque', 'NormalisedPower']",False,True,['power'],power,"[{'id': 'Z1', 'secs': 1539}, {'id': 'Z2', 'secs': 933}, {'id': 'Z3', 'secs': 1}, {'id': 'Z4', 'secs': 0}, {'id': 'Z5', 'secs': 0}, {'id': 'Z6', 'secs': 0}]","[1553, 920, 0, 0, 0]",,,,,POWER_HR_PACE,0.0,,False,,23,0,0,,,,1.3180535,11.0,73.0,,,,0.8289789,1,,,16693011882,,,90.90909,,OAUTH_CLIENT,60.0,MyWhoosh,0.9756571,-0.4,5.2,20,13.0,,HRSS,,,,,,,,,,,,,,,,,,,,,7.62964,186,3638d921,53.710247,1.2881356,1.2372881,,3.209056,146,1.0410959,29.890312
i110690025,2025-12-07T06:40:40,Ride,False,260.0,21276.0,544,265.0,780.0,288.0,False,,24301.0,699.65845,283,0,169,78.54215,56.378017,0.8753302,3.1673563,142.9385,,283,1570737,11497,24354,206,395,Peaje Versalles,,2025-12-07T11:40:40Z,60072.29,60072.29,11452,3123,1377.0,1347.0,,,,False,False,18.314,5.257,True,True,181.0,127.0,59.793545,1585,17.388378,12.0,27.0,52.610943,,NONE,False,"{'id': 'b11987797', 'name': None, 'distance': None, 'primary': None}",,WAHOO_FITNESS ELEMNT ACE,FAVERO_ELECTRONICS 12,3055820267,GOOD,,413446962,0,fit,2701597,2025-12-07T18:28:44.889+00:00,2025-12-07T19:48:38.044+00:00,2025-12-07T19:48:38.044+00:00,24301,700.0,,"[120, 147, 167, 186, 186]",,178,61,87.0,"[56, 76, 91, 106, 121, 999]",0,0,,177.75194,300,300,,False,False,False,,100.0,"['1x 3m16s 232w', '2x 2m18s 270w', '1x 12m17s 279w', '1x 84s 310w', '1x 2m40s 263w', '1x 80s 273w', '1x 1m50s 287w']",CAYSHuYKxAGOAYoB6guKAZUP4QXRBFSiAaABElC3FW6JChoRJ1EcWzBjRGIabVlcVGAXZRkiEQEDAQQBBAIEAQUDBAMEAQQBKAE=,"['time', 'watts', 'cadence', 'heartrate', 'distance', 'altitude', 'latlng', 'velocity_smooth', 'temp', 'left_right_balance', 'left_pedal_smoothness', 'right_pedal_smoothness', 'left_torque_effectiveness', 'right_torque_effectiveness', 'torque', 'RearGear', 'NormalisedPower']",False,True,['power'],power,"[{'id': 'Z1', 'secs': 5794}, {'id': 'Z2', 'secs': 2111}, {'id': 'Z3', 'secs': 1721}, {'id': 'Z4', 'secs': 1306}, {'id': 'Z5', 'secs': 382}, {'id': 'Z6', 'secs': 138}]","[4817, 4267, 1986, 388, 0]",,,,,POWER_HR_PACE,1.07,,True,,1,33843,12480,,,,1.4749256,43.0,60.0,,,,18.332016,1,,,16678323631,,,0.0,,WAHOO,,,1958.4241,1595.4,2461.6,169,99.0,,HRSS,,,,,,,,,,,,,,,,,,,,,5.245572,186,d8a3493c,72.79152,1.6220472,1.0787401,,2.631842,137,1.5036496,146.9812
i110474267,2025-12-06T05:58:00,Ride,False,273.0,23815.0,690,279.0,2220.0,283.0,False,,24301.0,699.65845,283,0,161,64.65099,53.664364,2.228341,8.451107,150.12903,,283,1347537,7755,7756,245,377,Cycling,,2025-12-06T10:58:00Z,48930.31,48930.31,7756,1832,1095.0,1069.0,,,,False,False,16.68,6.308,True,True,184.0,142.0,67.6032,1347,12.198607,9.0,19.0,52.420456,,NONE,False,"{'id': 'b11987797', 'name': None, 'distance': None, 'primary': None}",,WAHOO_FITNESS ELEMNT ACE,FAVERO_ELECTRONICS 12,3055820267,,,413128047,0,fit,2701597,2025-12-06T13:07:47.043+00:00,2025-12-06T15:17:23.925+00:00,2025-12-06T15:17:23.925+00:00,24301,700.0,,"[120, 147, 167, 186, 186]",,178,60,86.9,"[56, 76, 91, 106, 121, 999]",0,0,,187.83267,300,300,,False,False,False,,100.0,['1x 36m57s 283w'],CAYSBoMVqRGhFhoDQGQbIgMCBAEoAQ==,"['time', 'watts', 'cadence', 'heartrate', 'distance', 'altitude', 'latlng', 'velocity_smooth', 'temp', 'left_right_balance', 'left_pedal_smoothness', 'right_pedal_smoothness', 'left_torque_effectiveness', 'right_torque_effectiveness', 'torque', 'RearGear', 'NormalisedPower']",False,True,['power'],power,"[{'id': 'Z1', 'secs': 3297}, {'id': 'Z2', 'secs': 651}, {'id': 'Z3', 'secs': 752}, {'id': 'Z4', 'secs': 1644}, {'id': 'Z5', 'secs': 1039}, {'id': 'Z6', 'secs': 373}]","[1775, 2422, 1914, 1646, 0]",,,,,POWER_HR_PACE,1.48,[],True,,3,78733,19643,"{'start_index': 4929, 'end_index': 4989, 'start_time': 4929, 'end_time': 4989, 'start_bpm': 183, 'end_bpm': 153, 'average_watts': None, 'hrr': 30}",,,1.3466791,19.0,70.0,,,,34.56353,1,,,16665659786,,,0.0,,WAHOO,,,2387.4722,2077.2,2901.8,161,105.0,,HRSS,,,,,,,,,,,,,,,,,,,,,6.308704,186,a0b13345,86.57244,1.7253522,1.2253522,,2.799588,174,1.408046,160.80849
i110291500,2025-12-05T06:39:54,VirtualRide,False,192.0,13604.0,342,195.0,720.0,210.0,False,,24301.0,699.65845,283,0,19,49.85516,51.078087,0.0026419521,0.0209198,23.9088,82532336.0,283,276793,1596,1597,185,100,MyWhoosh - Controlled RPM,,2025-12-05T11:39:54Z,13306.66,13306.66,1597,66,13.6,12.4,,True,,False,False,9.873,8.327,True,True,157.0,135.0,73.44566,276,,,,,,NONE,False,"{'id': 'b11987797', 'name': None, 'distance': None, 'primary': None}",,MYWHOOSH 3570,,,,,MyNewActivity-5.5.0.fit,0,fit,2701597,2025-12-05T12:06:33.633+00:00,2025-12-05T12:08:49.624+00:00,2025-12-05T12:08:49.624+00:00,24301,700.0,,"[120, 147, 167, 186, 186]",,178,57,86.8,"[56, 76, 91, 106, 121, 999]",0,0,,32.88699,300,300,,False,False,False,,100.0,"['1x 10m1s 155w', '1x 12m 209w', '1x 3m 142w']",CAYSB9kE0AW0AWEaBDZJMhgiBAECAQEoAQ==,"['time', 'watts', 'cadence', 'heartrate', 'distance', 'altitude', 'latlng', 'velocity_smooth', 'torque', 'NormalisedPower']",False,True,['power'],power,"[{'id': 'Z1', 'secs': 600}, {'id': 'Z2', 'secs': 766}, {'id': 'Z3', 'secs': 225}, {'id': 'Z4', 'secs': 2}, {'id': 'Z5', 'secs': 5}, {'id': 'Z6', 'secs': 0}]","[221, 1011, 366, 0, 0]",,,,,POWER_HR_PACE,0.27,,False,,3,224,224,,,,1.3379334,10.0,75.0,,,,-8.393097,1,,,16656240832,,,52.77778,,OAUTH_CLIENT,60.0,MyWhoosh,0.5585732,-3.0,4.2,19,16.0,,HRSS,,,,,,,,,,,,,,,,,,,,,8.332286,186,9122e511,65.371025,1.3703704,1.2814815,,3.4034488,173,1.0693642,23.932362
i110283632,2025-12-05T06:27:28,VirtualRide,False,145.0,11016.0,220,148.0,210.0,184.0,False,,24301.0,699.65845,283,0,3,49.85516,51.078087,0.0,0.0,3.844522,,283,44717,342,343,166,95,MyWhoosh - Controlled RPM,,2025-12-05T11:27:28Z,2514.04,2514.04,343,92,5.0,6.2,,True,,False,False,10.66,7.307,True,True,134.0,123.0,72.33068,44,,,,,,NONE,False,"{'id': 'b11987797', 'name': None, 'distance': None, 'primary': None}",,MYWHOOSH 3570,,,,,MyNewActivity-5.5.0.fit,0,fit,2701597,2025-12-05T11:33:13.231+00:00,2025-12-05T12:09:05.345+00:00,2025-12-05T12:09:05.345+00:00,24301,700.0,,"[120, 147, 167, 186, 186]",,178,57,86.8,"[56, 76, 91, 106, 121, 999]",0,0,,4.999144,0,0,,False,False,False,,100.0,,CAYSAtgCGgEtIgEBKAE=,"['time', 'watts', 'cadence', 'heartrate', 'distance', 'altitude', 'latlng', 'velocity_smooth', 'torque', 'NormalisedPower']",False,True,['power'],power,"[{'id': 'Z1', 'secs': 189}, {'id': 'Z2', 'secs': 155}, {'id': 'Z3', 'secs': 0}, {'id': 'Z4', 'secs': 0}, {'id': 'Z5', 'secs': 0}, {'id': 'Z6', 'secs': 0}]","[119, 132, 0, 0, 0]",,,,,POWER_HR_PACE,0.0,,False,,1,0,0,,,,1.5208623,1.0,73.0,,,,-14.50449,1,,,16655971545,,,0.0,,OAUTH_CLIENT,60.0,MyWhoosh,1.9819767,-1.2,5.4,3,2.0,,HRSS,,,,,,,,,,,,,,,,,,,,,7.3295627,186,53393d66,58.657246,1.3495935,1.0650407,,3.0400224,131,1.2671756,3.844522
i110283059,2025-12-05T06:18:26,VirtualRide,False,130.0,9880.0,259,132.0,420.0,152.0,False,,24301.0,699.65845,283,0,4,49.85516,51.078087,0.0,0.0,5.335178,,283,64385,658,659,142,138,Morning Ciclismo virtual,,2025-12-05T11:18:26Z,3673.85,3673.85,520,97,3.8,3.8,,True,,False,False,8.844,0.0,True,True,122.0,113.0,70.90497,64,,,,,,NONE,False,"{'id': 'b11987797', 'name': None, 'distance': None, 'primary': None}",,MYWHOOSH 3570,,,,,MyNewActivity-5.5.0.fit,0,fit,2701597,2025-12-05T11:27:07.113+00:00,2025-12-05T11:27:07.343+00:00,2025-12-05T11:27:07.343+00:00,24301,700.0,,"[120, 147, 167, 186, 186]",,178,57,86.8,"[56, 76, 91, 106, 121, 999]",0,0,,5.541276,0,0,,False,False,False,,100.0,,CAYSApQFGgEiIgEBKAE=,"['time', 'watts', 'cadence', 'heartrate', 'distance', 'altitude', 'latlng', 'velocity_smooth', 'torque', 'NormalisedPower']",False,True,['power'],power,"[{'id': 'Z1', 'secs': 468}, {'id': 'Z2', 'secs': 49}, {'id': 'Z3', 'secs': 3}, {'id': 'Z4', 'secs': 0}, {'id': 'Z5', 'secs': 0}, {'id': 'Z6', 'secs': 0}]","[414, 10, 0, 0, 0]",,,,,POWER_HR_PACE,0.0,,,,1,0,0,,,,,,,,,,0.6982511,1,,,16655924855,,,0.0,,OAUTH_CLIENT,60.0,MyWhoosh,1.2006061,-0.2,4.2,4,2.0,,HRSS,,,,,,,,,,,,,,,,,,,,,7.0650964,186,a4d6aba7,50.176678,1.2566372,0.86725664,,2.989253,98,1.4489796,5.335178
i109917766,2025-12-03T06:12:43,VirtualRide,False,195.0,13969.0,280,198.0,420.0,226.0,False,,24301.0,699.65845,283,0,35,61.737045,52.927647,0.0,0.0,44.839108,82381734.0,283,522813,3008,3009,182,137,MyWhoosh - Cadence Drills,,2025-12-03T11:12:43Z,25214.85,25214.85,3009,0,0.0,,,True,,False,False,9.874,8.377,True,True,164.0,141.0,81.06747,522,,,,,,NONE,False,"{'id': 'b11987797', 'name': None, 'distance': None, 'primary': None}",,MYWHOOSH 3570,,,,,MyNewActivity-5.5.0.fit,0,fit,2701597,2025-12-03T12:02:56.431+00:00,2025-12-03T13:53:57.707+00:00,2025-12-03T13:53:57.707+00:00,24301,700.0,,"[120, 147, 167, 186, 186]",,178,58,87.3,"[56, 76, 91, 106, 121, 999]",0,0,,72.27959,300,300,,False,False,False,,100.0,"['2x 10m1s 150w', '2x 12m 201w', '2x 3m 144w']",CAYSDdkE0AW0AdAFtAHYBAkaBzVDMkoyNCAiBwECAQIBAQEoAQ==,"['time', 'watts', 'cadence', 'heartrate', 'distance', 'latlng', 'velocity_smooth', 'torque', 'NormalisedPower']",False,True,['power'],power,"[{'id': 'Z1', 'secs': 1330}, {'id': 'Z2', 'secs': 1351}, {'id': 'Z3', 'secs': 307}, {'id': 'Z4', 'secs': 22}, {'id': 'Z5', 'secs': 0}, {'id': 'Z6', 'secs': 0}]","[219, 1881, 910, 0, 0]",,,,,POWER_HR_PACE,0.0,,False,,6,0,0,,,,1.1996634,28.0,81.0,,,,2.6649246,1,,,16637674903,,,120.68965,,OAUTH_CLIENT,60.0,MyWhoosh,,,,35,35.0,,HRSS,,,,,,,,,,,,,,,,,,,,,8.37981,186,362f5481,64.31095,1.2907802,1.2340425,,3.1010506,174,1.045977,44.839108
i109911744,2025-12-03T06:09:07,VirtualRide,False,85.0,6452.0,205,86.0,180.0,114.0,False,,24301.0,699.65845,283,0,1,61.737045,52.927647,0.0,0.0,1.6803691,,283,20797,268,269,125,155,Morning Ciclismo virtual,,2025-12-03T11:09:07Z,1074.15,1074.15,169,7,0.0,0.0,,True,,False,False,7.593,0.0,True,True,118.0,98.0,61.120483,20,,,,,,NONE,False,"{'id': 'b11987797', 'name': None, 'distance': None, 'primary': None}",,MYWHOOSH 3570,,,,,MyNewActivity-5.5.0.fit,0,fit,2701597,2025-12-03T11:11:57.887+00:00,2025-12-03T11:11:58.276+00:00,2025-12-03T11:11:58.276+00:00,24301,700.0,,"[120, 147, 167, 186, 186]",,178,58,87.3,"[56, 76, 91, 106, 121, 999]",0,0,,1.0264603,0,0,,False,False,False,,100.0,,CAYSAo4CGgEbIgEBKAE=,"['time', 'watts', 'cadence', 'heartrate', 'distance', 'altitude', 'latlng', 'velocity_smooth', 'torque', 'NormalisedPower']",False,True,['power'],power,"[{'id': 'Z1', 'secs': 163}, {'id': 'Z2', 'secs': 6}, {'id': 'Z3', 'secs': 0}, {'id': 'Z4', 'secs': 0}, {'id': 'Z5', 'secs': 0}, {'id': 'Z6', 'secs': 0}]","[169, 0, 0, 0, 0]",,,,,POWER_HR_PACE,0.0,,,,1,0,0,,,,,,,,,,3.1475449,1,,,16637222916,,,0.0,,OAUTH_CLIENT,60.0,MyWhoosh,0.17851852,0.0,0.8,1,1.0,,HRSS,,,,,,,,,,,,,,,,,,,,,6.3559175,186,73ac343e,44.169613,1.2755102,0.79591835,,3.119699,78,1.6025641,1.6803691
i109722225,2025-12-02T06:25:47,VirtualRide,False,146.0,11086.0,251,149.0,1440.0,153.0,False,,24301.0,699.65845,283,0,20,65.689354,53.33552,0.0,0.0,31.438028,81728417.0,283,383944,2749,2750,143,111,MyWhoosh - Rodaje de Café (Recuperación),,2025-12-02T11:25:47Z,15279.89,15279.89,2750,50,192.0,90.2,,True,,False,False,18.619,5.554,True,True,133.0,121.0,72.24283,383,,,,,,NONE,False,"{'id': 'b11987797', 'name': None, 'distance': None, 'primary': None}",,MYWHOOSH 3570,,,,,MyNewActivity-5.5.0.fit,0,fit,2701597,2025-12-02T12:11:39.705+00:00,2025-12-02T12:15:55.907+00:00,2025-12-02T12:15:55.907+00:00,24301,700.0,,"[120, 147, 167, 186, 186]",,178,52,87.8,"[56, 76, 91, 106, 121, 999]",0,0,,40.595123,300,300,,False,False,False,,100.0,"['2x 10m1s 129w', '5x 5m 152w']",CAYSB9kE3AvYBDIaBC01LAEiBAEBAQEoAQ==,"['time', 'watts', 'cadence', 'heartrate', 'distance', 'altitude', 'latlng', 'velocity_smooth', 'torque', 'NormalisedPower']",False,True,['power'],power,"[{'id': 'Z1', 'secs': 2334}, {'id': 'Z2', 'secs': 417}, {'id': 'Z3', 'secs': 0}, {'id': 'Z4', 'secs': 0}, {'id': 'Z5', 'secs': 0}, {'id': 'Z6', 'secs': 0}]","[897, 1854, 0, 0, 0]",,,,,POWER_HR_PACE,0.0,,False,,7,0,0,,,,1.1940138,29.0,73.0,,,,3.16153,1,,,16627692746,,,105.26316,,OAUTH_CLIENT,60.0,MyWhoosh,37.17586,-0.6,138.4,20,18.0,,HRSS,,,,,,,,,,,,,,,,,,,,,5.5563235,186,86ac9564,50.530037,1.1818181,1.1570247,,2.3073533,140,1.0214286,31.438028
i109442602,2025-11-30T05:41:44,Ride,False,277.0,24301.0,495,283.0,1500.0,293.0,False,,24093.0,699.65845,283,2,311,83.87068,55.443233,2.8334029,13.880806,287.13113,81578351.0,281,2655378,17645,19965,224,656,Clásico el Colombiano 2025,,2025-11-30T10:41:44Z,118156.42,118156.42,17595,4111,1929.0,1934.0,,False,RACE,False,True,19.907,6.721,True,True,186.0,143.0,67.977234,2647,13.411005,8.0,30.0,53.81039,,NONE,False,"{'id': 'b11987797', 'name': None, 'distance': None, 'primary': None}",,WAHOO_FITNESS ELEMNT ACE,FAVERO_ELECTRONICS 12,3055820267,GOOD,,411934301,0,fit,2701597,2025-11-30T16:15:04.263+00:00,2025-12-02T10:29:05.933+00:00,2025-12-02T10:29:05.933+00:00,17940,700.0,,"[116, 142, 161, 180, 186]",,172,57,87.0,"[56, 76, 91, 106, 121, 999]",0,0,,450.01157,300,300,,False,False,False,,100.0,"['1x 5m42s 342w', '5x 40s 344w', '2x 23m21s 287w', '1x 53s 321w', '1x 60s 319w', '4x 32s 338w', '1x 2m4s 262w', '1x 28s 407w']",CAYSM7AM1gKDASnhAyjQBsELqho10QI8zgUf0gJ8pQQmyQcoeSfuAhwLIKIBIcMEsArkCyHsDRokGHlJa1d/FmgmciZxI24rXSiGASN0Kn00kAFieFR3LWMwgQEgIiEBBgIFAwYBBAEFAQUBBQEEAQYBBQEGAQYEBQMFAQQBBgEoAQ==,"['time', 'watts', 'cadence', 'heartrate', 'distance', 'altitude', 'latlng', 'velocity_smooth', 'temp', 'left_right_balance', 'left_pedal_smoothness', 'right_pedal_smoothness', 'left_torque_effectiveness', 'right_torque_effectiveness', 'torque', 'RearGear', 'NormalisedPower']",False,True,['power'],power,"[{'id': 'Z1', 'secs': 9007}, {'id': 'Z2', 'secs': 2134}, {'id': 'Z3', 'secs': 1449}, {'id': 'Z4', 'secs': 3118}, {'id': 'Z5', 'secs': 1259}, {'id': 'Z6', 'secs': 628}]","[2223, 7134, 3795, 3838, 605]",,,,,POWER_HR_PACE,1.42,"[{'id': 'ftp_up', 'type': 'FTP_UP', 'message': None, 'watts': 293, 'secs': 1500, 'value': None, 'distance': None, 'pace': None, 'point': {'start_index': 3455, 'end_index': 4955, 'secs': 1500, 'value': 293}}, {'id': 'ps0_300', 'type': 'BEST_POWER', 'message': None, 'watts': 347, 'secs': 300, 'value': None, 'distance': None, 'pace': None, 'point': {'start_index': 1625, 'end_index': 1925, 'secs': 300, 'value': 347}}, {'id': 'lthr', 'type': 'LTHR_UP', 'message': '98% de 20 min a 179 bpm', 'watts': None, 'secs': None, 'value': 175, 'distance': None, 'pace': None, 'point': {'start_index': 3784, 'end_index': 4984, 'secs': 1200, 'value': 179}}]",True,,1,114768,21242,"{'start_index': 4961, 'end_index': 5021, 'start_time': 6325, 'end_time': 6385, 'start_bpm': 186, 'end_bpm': 155, 'average_watts': None, 'hrr': 31}",,,0.7823779,30.0,53.0,,2.0,,1.0488188,1,,,16611925456,,,100.0,,WAHOO,,,2270.6204,2094.2,2611.8,311,255.0,,HRSS,,,,,,,,,,,,,,,,,,,150.0,,6.7153406,186,aef753f5,79.7153,1.5664335,1.048951,,2.9636426,150,1.4933333,303.84534
